Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
"['x2', 'x3', 'x6_2']",3,113.02283517173974,0.43875789797087583,0.42331086763979886,30.35627444447337,8.022832864771482,18.932384139620844
"['x2', 'x4', 'x5']",3,132.87742097444792,0.34016517151964576,0.3220045799100948,54.134148719252494,26.310433862720632,37.21998513756999
"['x2', 'x4', 'x9']",3,113.37337193967855,0.4370172232463584,0.4215222844366251,30.776077671776108,8.372756451706678,19.28230772655604
"['x2', 'x4', 'x10']",3,137.20304652830606,0.3186852362946173,0.2999334538073133,59.31452274475251,29.930373452518875,40.83992472736824
"['x2', 'x4', 'x7_2']",3,159.64733975095228,0.20723269409201284,0.18541341044316917,86.19383353659816,47.050476415210206,57.96002769005957
"['x2', 'x4', 'x7_3']",3,157.0014455560964,0.22037151880306383,0.1989138541829647,83.02510767473353,45.161992917169385,56.07154419201875
"['x2', 'x4', 'x7_4']",3,159.19294788864255,0.20948908629417817,0.18773190518300886,85.64965333153893,46.72839468844363,57.63794596329299
"['x2', 'x4', 'x6_2']",3,152.13183875155138,0.24455272390985316,0.22376059704498674,77.19326109195131,41.60164456342753,52.51119583827689
"['x2', 'x5', 'x9']",3,140.21097256643043,0.30374865529468187,0.28458577424774645,62.91681834905566,32.38092706393153,43.29047833878089
"['x2', 'x5', 'x10']",3,163.5805331676846,0.1877014751357945,0.16534463500191732,90.90423039356472,49.80068969934541,60.710240974194775
"['x2', 'x5', 'x7_2']",3,171.02191850818235,0.15074948446713743,0.1273756170671505,99.8160418417998,54.82764160248488,65.73719287733425
"['x2', 'x5', 'x7_3']",3,163.23183047822053,0.18943304230112978,0.16712385997914248,90.48662366070491,49.55955182792101,60.469103102770376
"['x2', 'x5', 'x7_4']",3,170.47930098400084,0.1534439824365661,0.1301442755311505,99.1662024849133,54.468545773051005,65.37809704790037
"['x2', 'x5', 'x6_2']",3,166.98843057530178,0.17077873999340487,0.14795613650698491,94.98553215955846,52.13064860429879,63.040199879148155
"['x2', 'x9', 'x10']",3,135.6830149922701,0.3262333188846508,0.30768928178973287,57.4941312686114,28.671493910668225,39.58104518551759
"['x2', 'x9', 'x7_2']",3,140.19542946510117,0.30382583830684795,0.28466508156299963,62.89820391343261,32.36839974330489,43.277951018154255
"['x2', 'x9', 'x7_3']",3,134.65209314698117,0.3313526095359425,0.3129494703488582,56.25949810789041,27.809639643646296,38.719190918495656
"['x2', 'x9', 'x7_4']",3,139.52861554148564,0.30713706340205627,0.288067441293856,62.099626808981526,31.829653665211726,42.739204940061086
"['x2', 'x9', 'x6_2']",3,139.8390964135618,0.305595295873229,0.2864832397963454,62.471459050374534,32.08082337085752,42.990374645706886
"['x2', 'x10', 'x7_2']",3,172.30184210376842,0.144393715669337,0.12084491885289683,101.3488797785659,55.670181810540186,66.57973308538955
"['x2', 'x10', 'x7_3']",3,166.87360164020666,0.17134895071946754,0.1485420411062418,94.84801289781561,52.05291787168869,62.962469146538055
"['x2', 'x10', 'x7_4']",3,172.0343217278328,0.14572215251041964,0.12220991817584403,101.02849707564036,55.494598693004285,66.40414996785364
"['x2', 'x10', 'x6_2']",3,172.1912746270744,0.14494276509763682,0.12140907973335169,101.21646404419428,55.59764552642507,66.50719680127443
"['x2', 'x7_2', 'x7_3']",3,189.72214133486148,0.05788902532442741,0.031959365470971335,122.21144971893014,66.55352290265336,77.46307417750273
"['x2', 'x7_2', 'x7_4']",3,201.27171233557232,0.0005368495793769412,-0.02697131052394286,136.0432289316236,73.23128164379553,84.14083291864489
"['x2', 'x7_2', 'x6_2']",3,190.19147213656032,0.055558450221686484,0.029564646099347502,122.77352081459381,66.83271483308366,77.74226610793303
"['x2', 'x7_3', 'x7_4']",3,190.58491905433527,0.0536046948161234,0.027557117609227633,123.24471328557328,67.06623518024621,77.97578645509557
"['x2', 'x7_3', 'x6_2']",3,182.49744755013413,0.09376498189635263,0.06882273369166492,113.55914832145686,62.16636560498839,73.07591687983776
"['x2', 'x7_4', 'x6_2']",3,190.1514014047534,0.05575743108882736,0.029769103504116212,122.72553206114051,66.8089047762853,77.71845605113467
"['x3', 'x4', 'x5']",3,98.9405290306897,0.5086869798949578,0.49516460319481903,13.491288780800417,-7.014181851461332,3.895369423388031
"['x3', 'x4', 'x9']",3,92.88745773878823,0.5387449628719534,0.5260498701069614,6.2421237976922725,-14.14790849269692,-3.2383572178475575
"['x3', 'x4', 'x10']",3,104.43535158821398,0.4814011154254446,0.46712775162981457,20.071894452121498,-0.9066129734870945,10.002938301362269
"['x3', 'x4', 'x7_2']",3,114.53953866995334,0.4312263415539396,0.41557202067927723,32.17268025877755,9.529145444289222,20.438696719138584
"['x3', 'x4', 'x7_3']",3,113.84467491240744,0.4346768548534786,0.41911750223476707,31.340510641682187,8.841533584817938,19.7510848596673
"['x3', 'x4', 'x7_4']",3,113.72613045998969,0.43526551587544793,0.41972236493624016,31.198541672217345,8.72380737373468,19.633358648584043
"['x3', 'x4', 'x6_2']",3,112.01154808011938,0.4437796875250716,0.42847087158539465,29.145155886816212,7.007199529205556,17.91675080405492
"['x3', 'x5', 'x9']",3,98.39098074134341,0.5114158942476565,0.4979686252819956,12.83314913176207,-7.6435706126187775,3.265980662230586
"['x3', 'x5', 'x10']",3,104.09645097919497,0.4830840080010568,0.46885696234970964,19.666026701820655,-1.2739027783342394,9.635648496515124
"['x3', 'x5', 'x7_2']",3,105.49599051529563,0.47613425744912397,0.4617159342596504,21.342116823400787,0.23521956425738733,11.144770839106751
"['x3', 'x5', 'x7_3']",3,104.19428457018006,0.4825981917483366,0.4683577750074652,19.783192320353805,-1.1677511862805758,9.741800088568787
"['x3', 'x5', 'x7_4']",3,103.96611174047621,0.48373123887437663,0.4695220069167907,19.509932283023858,-1.4154788092099064,9.494072465639457
"['x3', 'x5', 'x6_2']",3,105.05169054333182,0.47834053593979853,0.4639829360115362,20.81002267756358,-0.24168876455233423,10.667862510297029
